MutantID,Status,Output
4,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/4/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a == 0 || b <= 0 || c <= 0) {|
8,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/8/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -20 +20 @@|-        if (a <= 0 || b <= 0 || c <= 0) {|+        if (a <= 0 || b < 0 || c <= 0) {|
120,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/120/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (false && a + c > b) {|
121,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/121/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a % c > b) {|
122,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/122/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a * c > b) {|
123,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/123/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a - c > b) {|
124,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/124/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a / c > b) {|
125,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/125/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a + c != b) {|
126,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/126/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && a + c >= b) {|
127,FAIL,--- src/triangle/Triangle.java	2016-10-20 16:46:52.000000000 -0400|+++ .mutated/mutants/127/triangle/Triangle.java	2016-10-20 16:21:53.000000000 -0400|@@ -45 +45 @@|-        } else if (trian == 2 && a + c > b) {|+        } else if (trian == 2 && false) {|
